strain	season_start	season_end	lbi
A/NewYork/566/1997	1996-07-01	1997-07-01	0.3978
A/NewYork/585/1997	1996-07-01	1997-07-01	0.4821
A/NewYork/558/1997	1996-07-01	1997-07-01	0.5016
A/NewYork/597/1997	1996-07-01	1997-07-01	0.4023
A/Siena/1/1997	1996-07-01	1997-07-01	0.4766
A/HongKong/CUHK4245/1997	1996-07-01	1997-07-01	0.4450
A/NewYork/569/1997	1996-07-01	1997-07-01	0.6772
A/Malaysia/12726/1997	1996-07-01	1997-07-01	0.5241
A/HongKong/CUHK4391/1997	1996-07-01	1997-07-01	1.9685
A/HongKong/CUHK12566/1997	1996-07-01	1997-07-01	1.2817
A/HongKong/CUHK4529/1997	1996-07-01	1997-07-01	1.8331
A/HongKong/CUHK20010/1997	1996-07-01	1997-07-01	1.1731
A/HongKong/CUHK4542/1997	1996-07-01	1997-07-01	1.9071
A/HongKong/CUHK12794/1997	1996-07-01	1997-07-01	1.2651
A/HongKong/CUHK12563/1997	1996-07-01	1997-07-01	1.3298
A/HongKong/CUHK4803/1997	1996-07-01	1997-07-01	1.6851
A/HongKong/CUHK4622/1997	1996-07-01	1997-07-01	1.8033
A/HongKong/CUHK12626/1997	1996-07-01	1997-07-01	1.2849
A/HongKong/CUHK12160/1997	1996-07-01	1997-07-01	0.5208
A/Malaysia/12942/1997	1996-07-01	1997-07-01	0.8646
A/Malaysia/12904/1997	1996-07-01	1997-07-01	0.8770
A/Malaysia/13002/1997	1996-07-01	1997-07-01	0.8703
A/Malaysia/12990/1997	1996-07-01	1997-07-01	0.8853
A/Malaysia/12974/1997	1996-07-01	1997-07-01	0.7362
A/Malaysia/12550/1997	1996-07-01	1997-07-01	0.9414
A/Malaysia/12766/1997	1996-07-01	1997-07-01	0.7938
A/Malaysia/12106/1997	1996-07-01	1997-07-01	1.1274
A/Malaysia/12132/1997	1996-07-01	1997-07-01	1.0973
A/HongKong/CUHK20523/1997	1997-07-01	1998-07-01	0.4087
A/HongKong/CUHK41507/1997	1997-07-01	1998-07-01	0.9799
A/HongKong/CUHK41459/1997	1997-07-01	1998-07-01	0.9855
A/HongKong/CUHK41114/1997	1997-07-01	1998-07-01	1.0148
A/NewYork/517/1998	1997-07-01	1998-07-01	0.9251
A/NewYork/539/1998	1997-07-01	1998-07-01	0.8010
A/HongKong/CUHK10554/1998	1997-07-01	1998-07-01	0.9841
A/HongKong/CUHK10954/1998	1997-07-01	1998-07-01	0.9112
A/NewYork/520/1998	1997-07-01	1998-07-01	0.8939
A/NewYork/546/1998	1997-07-01	1998-07-01	0.9071
A/NewYork/522/1997	1997-07-01	1998-07-01	1.0099
A/NewYork/548/1998	1997-07-01	1998-07-01	0.8497
A/NewYork/505/1997	1997-07-01	1998-07-01	1.2821
A/NewYork/506/1998	1997-07-01	1998-07-01	0.9044
A/NewYork/528/1998	1997-07-01	1998-07-01	0.9432
A/NewYork/532/1998	1997-07-01	1998-07-01	0.8936
A/Auckland/10/1997	1997-07-01	1998-07-01	2.3885
A/NewYork/529/1998	1997-07-01	1998-07-01	0.8386
A/Sydney/5/1997	1997-07-01	1998-07-01	1.2649
A/Sydney/5/1997-egg	1997-07-01	1998-07-01	1.2649
A/NewYork/533/1998	1997-07-01	1998-07-01	0.9981
A/NewYork/540/1998	1997-07-01	1998-07-01	1.0045
A/NewYork/527/1998	1997-07-01	1998-07-01	1.0010
A/Netherlands/300/1997	1997-07-01	1998-07-01	1.6801
A/NewYork/545/1997	1997-07-01	1998-07-01	1.8056
A/NewYork/550/1998	1997-07-01	1998-07-01	1.5060
A/NewYork/535/1998	1997-07-01	1998-07-01	1.2212
A/NewYork/501/1997	1997-07-01	1998-07-01	2.2147
A/NewYork/536/1998	1997-07-01	1998-07-01	1.4461
A/NewYork/538/1998	1997-07-01	1998-07-01	1.4058
A/HongKong/CUHK20213/1997	1997-07-01	1998-07-01	0.4002
A/Taiwan/317/1998	1997-07-01	1998-07-01	0.3753
A/Malaysia/13241/1997	1997-07-01	1998-07-01	0.1714
A/Netherlands/5/1998	1997-07-01	1998-07-01	0.4735
A/NewYork/541/1998	1997-07-01	1998-07-01	0.4444
A/NewYork/521/1998	1997-07-01	1998-07-01	0.4628
A/NewYork/518/1998	1997-07-01	1998-07-01	0.4711
A/HongKong/CUHK20217/1997	1997-07-01	1998-07-01	0.9214
A/HongKong/CUHK20199/1997	1997-07-01	1998-07-01	0.9214
A/HongKong/CUHK22185/1997	1997-07-01	1998-07-01	0.7536
A/HongKong/CUHK22048/1997	1997-07-01	1998-07-01	0.7680
A/HongKong/CUHK20236/1997	1997-07-01	1998-07-01	0.9295
A/HongKong/CUHK20731/1997	1997-07-01	1998-07-01	0.7927
A/HongKong/CUHK20992/1997	1997-07-01	1998-07-01	0.7782
A/HongKong/CUHK22013/1997	1997-07-01	1998-07-01	0.7744
A/Taiwan/1335/1997	1997-07-01	1998-07-01	0.8372
A/HongKong/CUHK20320/1997	1997-07-01	1998-07-01	0.9429
A/HongKong/CUHK22736/1997	1997-07-01	1998-07-01	0.6953
A/HongKong/CUHK10632/1998	1997-07-01	1998-07-01	1.9569
A/NewYork/523/1998	1997-07-01	1998-07-01	1.7478
A/NewYork/526/1997	1997-07-01	1998-07-01	2.1601
A/NewYork/534/1998	1997-07-01	1998-07-01	1.7892
A/NewYork/507/1997	1997-07-01	1998-07-01	2.3315
A/NewYork/542/1998	1997-07-01	1998-07-01	1.5863
A/NewYork/543/1998	1997-07-01	1998-07-01	1.6042
A/NewYork/519/1998	1997-07-01	1998-07-01	1.6484
A/NewYork/514/1998	1997-07-01	1998-07-01	1.9823
