strain	season_start	season_end	lbi
A/NewYork/585/1997	1996-07-01	1997-07-01	0.4824
A/NewYork/558/1997	1996-07-01	1997-07-01	0.5004
A/NewYork/581/1997	1996-07-01	1997-07-01	0.4187
A/HongKong/CUHK4147/1997	1996-07-01	1997-07-01	0.5015
A/NewYork/560/1997	1996-07-01	1997-07-01	0.7258
A/NewYork/566/1997	1996-07-01	1997-07-01	0.6815
A/NewYork/583/1997	1996-07-01	1997-07-01	0.5596
A/NewYork/597/1997	1996-07-01	1997-07-01	0.4087
A/HongKong/CUHK4245/1997	1996-07-01	1997-07-01	0.3928
A/Siena/1/1997	1996-07-01	1997-07-01	0.4576
A/NewYork/569/1997	1996-07-01	1997-07-01	0.6487
A/Malaysia/12726/1997	1996-07-01	1997-07-01	0.5079
A/HongKong/CUHK12566/1997	1996-07-01	1997-07-01	1.2847
A/HongKong/CUHK4529/1997	1996-07-01	1997-07-01	1.8271
A/HongKong/CUHK4391/1997	1996-07-01	1997-07-01	1.9595
A/HongKong/CUHK12794/1997	1996-07-01	1997-07-01	1.2258
A/HongKong/CUHK20010/1997	1996-07-01	1997-07-01	1.1770
A/HongKong/CUHK12563/1997	1996-07-01	1997-07-01	1.3175
A/HongKong/CUHK4542/1997	1996-07-01	1997-07-01	1.9045
A/HongKong/CUHK4803/1997	1996-07-01	1997-07-01	1.6820
A/HongKong/CUHK4622/1997	1996-07-01	1997-07-01	1.8249
A/HongKong/CUHK12626/1997	1996-07-01	1997-07-01	1.2841
A/HongKong/CUHK12160/1997	1996-07-01	1997-07-01	0.3962
A/Malaysia/12942/1997	1996-07-01	1997-07-01	0.8367
A/Malaysia/12904/1997	1996-07-01	1997-07-01	0.8480
A/Malaysia/13002/1997	1996-07-01	1997-07-01	0.8460
A/Malaysia/12990/1997	1996-07-01	1997-07-01	0.8608
A/Malaysia/12974/1997	1996-07-01	1997-07-01	0.7456
A/Malaysia/12550/1997	1996-07-01	1997-07-01	0.9573
A/Malaysia/12766/1997	1996-07-01	1997-07-01	0.8121
A/Malaysia/12106/1997	1996-07-01	1997-07-01	1.1422
