lbi	replicate	season_end	season_start	strain
0.4369	0	1997-07-01	1996-07-01	A/Scotland/31/1997
0.5897	0	1997-07-01	1996-07-01	A/Siena/1/1997
0.4808	0	1997-07-01	1996-07-01	A/HongKong/CUHK4245/1997
0.4329	0	1997-07-01	1996-07-01	A/NewYork/597/1997
0.5261	0	1997-07-01	1996-07-01	A/Beijing/65/1997
0.587	0	1997-07-01	1996-07-01	A/Harbin/1/1997
0.5898	0	1997-07-01	1996-07-01	A/Harbin/2/1997
0.4438	0	1997-07-01	1996-07-01	A/NewYork/569/1997
0.5162	0	1997-07-01	1996-07-01	A/NewYork/585/1997
0.5336	0	1997-07-01	1996-07-01	A/NewYork/558/1997
0.4676	0	1997-07-01	1996-07-01	A/Scotland/39/1997
1.0496	0	1997-07-01	1996-07-01	A/NewYork/581/1997
1.1589	0	1997-07-01	1996-07-01	A/NewYork/579/1997
1.225	0	1997-07-01	1996-07-01	A/NewYork/560/1997
1.1488	0	1997-07-01	1996-07-01	A/NewYork/566/1997
0.9181	0	1997-07-01	1996-07-01	A/NewYork/583/1997
1.225	0	1997-07-01	1996-07-01	A/NewYork/576/1997
1.2549	0	1997-07-01	1996-07-01	A/NewYork/564/1997
0.9136	0	1997-07-01	1996-07-01	A/HongKong/CUHK4147/1997
1.1891	0	1997-07-01	1996-07-01	A/HongKong/CUHK4391/1997
1.0898	0	1997-07-01	1996-07-01	A/HongKong/CUHK4622/1997
1.1349	0	1997-07-01	1996-07-01	A/HongKong/CUHK4529/1997
0.8891	0	1997-07-01	1996-07-01	A/HongKong/CUHK12626/1997
0.8272	0	1997-07-01	1996-07-01	A/HongKong/CUHK12794/1997
1.0382	0	1997-07-01	1996-07-01	A/HongKong/CUHK12566/1997
0.9505	0	1997-07-01	1996-07-01	A/HongKong/CUHK20010/1997
1.018	0	1997-07-01	1996-07-01	A/HongKong/CUHK12563/1997
1.4646	0	1997-07-01	1996-07-01	A/HongKong/CUHK4542/1997
1.3254	0	1997-07-01	1996-07-01	A/HongKong/CUHK4803/1997
0.6352	0	1997-07-01	1996-07-01	A/Beijing/62/1997
0.4879	0	1997-07-01	1996-07-01	A/Malaysia/12726/1997
0.7488	0	1997-07-01	1996-07-01	A/Tianjin/46/1997
0.8756	0	1997-07-01	1996-07-01	A/Tianjin/64/1997
0.5787	0	1997-07-01	1996-07-01	A/HongKong/CUHK12160/1997
0.6009	0	1997-07-01	1996-07-01	A/Guangxi/341/1997
1.169	0	1997-07-01	1996-07-01	A/Malaysia/12942/1997
1.1892	0	1997-07-01	1996-07-01	A/Malaysia/12904/1997
1.1417	0	1997-07-01	1996-07-01	A/Malaysia/13002/1997
1.1627	0	1997-07-01	1996-07-01	A/Malaysia/12990/1997
0.963	0	1997-07-01	1996-07-01	A/Malaysia/12974/1997
1.0422	0	1997-07-01	1996-07-01	A/Malaysia/12766/1997
1.2401	0	1997-07-01	1996-07-01	A/Malaysia/12550/1997
1.7276	0	1997-07-01	1996-07-01	A/Malaysia/12106/1997
1.6812	0	1997-07-01	1996-07-01	A/Malaysia/12132/1997
0.3989	0	1998-07-01	1997-07-01	A/Shantou/133/1998
0.399	0	1998-07-01	1997-07-01	A/England/731/1997
0.4033	0	1998-07-01	1997-07-01	A/NewYork/518/1998
0.5368	0	1998-07-01	1997-07-01	A/Netherlands/5/1998
0.4478	0	1998-07-01	1997-07-01	A/NewYork/541/1998
0.634	0	1998-07-01	1997-07-01	A/Scotland/89/1997
0.4004	0	1998-07-01	1997-07-01	A/NewYork/537/1998
0.6538	0	1998-07-01	1997-07-01	A/HongKong/CUHK20236/1997
0.6066	0	1998-07-01	1997-07-01	A/HongKong/CUHK20731/1997
0.6538	0	1998-07-01	1997-07-01	A/HongKong/CUHK20199/1997
0.5669	0	1998-07-01	1997-07-01	A/HongKong/CUHK22736/1997
0.6022	0	1998-07-01	1997-07-01	A/HongKong/CUHK22185/1997
0.6187	0	1998-07-01	1997-07-01	A/HongKong/CUHK22048/1997
0.6237	0	1998-07-01	1997-07-01	A/HongKong/CUHK20217/1997
0.7228	0	1998-07-01	1997-07-01	A/HongKong/CUHK20320/1997
0.6687	0	1998-07-01	1997-07-01	A/HongKong/CUHK22013/1997
0.6725	0	1998-07-01	1997-07-01	A/HongKong/CUHK20992/1997
0.586	0	1998-07-01	1997-07-01	A/Taiwan/1335/1997
0.4357	0	1998-07-01	1997-07-01	A/HongKong/CUHK20213/1997
0.4065	0	1998-07-01	1997-07-01	A/Dakar/1/1998
0.4626	0	1998-07-01	1997-07-01	A/Sichuan/304/1997
0.4033	0	1998-07-01	1997-07-01	A/Malaysia/13241/1997
0.4058	0	1998-07-01	1997-07-01	A/HongKong/CUHK20523/1997
0.4346	0	1998-07-01	1997-07-01	A/Wuhan/34/1998
0.5161	0	1998-07-01	1997-07-01	A/Guangxi/386/1997
1.1497	0	1998-07-01	1997-07-01	A/NewYork/517/1998
1.2042	0	1998-07-01	1997-07-01	A/HongKong/CUHK10554/1998
1.1361	0	1998-07-01	1997-07-01	A/HongKong/CUHK10954/1998
1.0544	0	1998-07-01	1997-07-01	A/NewYork/539/1998
0.8591	0	1998-07-01	1997-07-01	A/Shanghai/58/1998
1.0075	0	1998-07-01	1997-07-01	A/Shanghai/1/1998
1.2481	0	1998-07-01	1997-07-01	A/Shanghai/34/1998
1.0019	0	1998-07-01	1997-07-01	A/Hangzhou/16/1998
1.2299	0	1998-07-01	1997-07-01	A/Shanghai/69/1998
0.9054	0	1998-07-01	1997-07-01	A/Guangzhou/er149/1998
1.1783	0	1998-07-01	1997-07-01	A/NewYork/520/1998
1.4441	0	1998-07-01	1997-07-01	A/NewYork/522/1997
1.7829	0	1998-07-01	1997-07-01	A/NewYork/505/1997
1.2139	0	1998-07-01	1997-07-01	A/NewYork/506/1998
1.3146	0	1998-07-01	1997-07-01	A/NewYork/546/1998
1.1973	0	1998-07-01	1997-07-01	A/NewYork/548/1998
2.9984	0	1998-07-01	1997-07-01	A/Auckland/10/1997
1.1162	0	1998-07-01	1997-07-01	A/NewYork/536/1998
1.8527	0	1998-07-01	1997-07-01	A/Sydney/5/1997
1.3476	0	1998-07-01	1997-07-01	A/Sydney/5/1997-egg
1.3721	0	1998-07-01	1997-07-01	A/Netherlands/300/1997
1.9305	0	1998-07-01	1997-07-01	A/NewYork/501/1997
1.3779	0	1998-07-01	1997-07-01	A/NewYork/550/1998
1.2269	0	1998-07-01	1997-07-01	A/NewYork/540/1998
1.2001	0	1998-07-01	1997-07-01	A/NewYork/535/1998
1.7812	0	1998-07-01	1997-07-01	A/NewYork/545/1997
1.2263	0	1998-07-01	1997-07-01	A/NewYork/527/1998
1.6738	0	1998-07-01	1997-07-01	A/NewYork/532/1998
1.7906	0	1998-07-01	1997-07-01	A/NewYork/528/1998
1.5832	0	1998-07-01	1997-07-01	A/NewYork/533/1998
1.543	0	1998-07-01	1997-07-01	A/NewYork/538/1998
1.3568	0	1998-07-01	1997-07-01	A/NewYork/529/1998
1.3754	0	1998-07-01	1997-07-01	A/NewYork/526/1997
1.2717	0	1998-07-01	1997-07-01	A/HongKong/CUHK10632/1998
1.7797	0	1998-07-01	1997-07-01	A/NewYork/534/1998
1.9475	0	1998-07-01	1997-07-01	A/NewYork/525/1998
2.3152	0	1998-07-01	1997-07-01	A/NewYork/523/1998
2.9058	0	1998-07-01	1997-07-01	A/NewYork/547/1997
2.8314	0	1998-07-01	1997-07-01	A/NewYork/504/1998
3.5238	0	1998-07-01	1997-07-01	A/NewYork/503/1997
2.9438	0	1998-07-01	1997-07-01	A/NewYork/516/1997
3.0253	0	1998-07-01	1997-07-01	A/NewYork/508/1997
3.0183	0	1998-07-01	1997-07-01	A/NewYork/509/1997
2.6555	0	1998-07-01	1997-07-01	A/NewYork/514/1998
2.331	0	1998-07-01	1997-07-01	A/NewYork/544/1998
2.1412	0	1998-07-01	1997-07-01	A/NewYork/543/1998
2.1966	0	1998-07-01	1997-07-01	A/NewYork/519/1998
2.3715	0	1998-07-01	1997-07-01	A/NewYork/512/1998
2.0951	0	1998-07-01	1997-07-01	A/NewYork/542/1998
2.0847	0	1998-07-01	1997-07-01	A/NewYork/531/1998
3.209	0	1998-07-01	1997-07-01	A/NewYork/507/1997
3.209	0	1998-07-01	1997-07-01	A/NewYork/511/1997
