strain,accession,originating_lab,submitting_lab,segment
A/AbuDhabi/1/2017,EPI1179733,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/1/2019,EPI1447910,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/11/2019,EPI1448395,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/111/2018,EPI1332614,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/112/2018,EPI1349965,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/114/2018,EPI1350046,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/115/2018,EPI1350110,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/116/2018,EPI1336766,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/117/2018,EPI1336575,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/12/2017,EPI1179828,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/123/2018,EPI1336583,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/128/2018,EPI1349981,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/129/2018,EPI1350102,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/13/2017,EPI1179741,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/132/2018,EPI1336837,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/14/2017,EPI1179836,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/16/2017,EPI1179860,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/19/2019,EPI1438319,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/217/2017,EPI1248987,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/218/2017,EPI1248723,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/22/2019,EPI1432781,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/24/2017,EPI1179932,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/240/2018,EPI1245538,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/53/2019,EPI1586136,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/54/2019,EPI1606531,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/7/2019,EPI1448411,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/8/2017,EPI1179805,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/8/2019,EPI1448379,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/97/2018,EPI1329224,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/AbuDhabi/98/2018,EPI1329232,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/Abudhabi/62/2019,EPI1636494,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/Abudhabi/63/2019,EPI1636470,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/Abudhabi/66/2019,EPI1636623,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/Abudhabi/69/2019,EPI1636422,Shaikh Khalifa Medical City,Centers For Disease Control And Prevention,HA
A/Acores/SU43/2012,EPI416999,Instituto Nacional De Saude,National Institute For Medical Research,HA
A/Acre/135094-IEC/2015,EPI670579,National Influenza Center,Centers For Disease Control And Prevention,HA
A/Acre/15093/2010,EPI271536,?,Other Database Import,HA
A/Acre/26954/2010,EPI271537,?,Other Database Import,HA
A/Adana/111/2014,EPI505187,Refik Saydam National Public Health Agency,National Institute For Medical Research,HA
A/Adana/199/2014,EPI505193,Refik Saydam National Public Health Agency,National Institute For Medical Research,HA
A/Adana/223/2014,EPI505195,Refik Saydam National Public Health Agency,National Institute For Medical Research,HA
A/Adjame/GR1272/2011,EPI352744,Pasteur Institut Of Côte D'ivoire,National Institute For Medical Research,HA
A/Adjame/GR1327/2011,EPI352742,Pasteur Institut Of Côte D'ivoire,National Institute For Medical Research,HA
A/Adjame/GR429/2012,EPI405863,Pasteur Institut Of Côte D'ivoire,National Institute For Medical Research,HA
